ssn|cc_num|first|last|gender|street|city|state|zip|lat|long|city_pop|job|dob|acct_num|profile
544-53-9273|4221969379237473|Dawn|Smith|F|8217 Huerta Hills Suite 474|Queen Creek|AZ|85143|33.1598|-111.5618|120596|Engineer, civil (contracting)|1973-09-19|425199071794|adults_50up_female_urban.json
110-31-6249|3594406409097438|Lisa|Gomez|F|421 Kyle Mill|Brooklyn|NY|11209|40.6251|-74.0303|2504700|Analytical chemist|1990-10-13|401921209060|adults_2550_female_urban.json
093-38-5353|3523285884247452|Regina|Mcdonald|F|36851 Smith Plain|Lompoc|CA|93436|34.6583|-120.4506|57355|Community pharmacist|1934-09-11|405680216951|adults_50up_female_urban.json
689-34-9578|6513709859317466|Bruce|Williams|M|7113 Paul Land|Reisterstown|MD|21136|39.46|-76.8135|33781|Sound technician, broadcasting/film/video|1969-03-05|646045230097|adults_50up_male_urban.json
159-54-1623|36405377351589|Steven|Newman|M|4317 Elizabeth Row|Denison|IA|51442|42.0196|-95.3636|9838|Therapist, speech and language|1965-12-12|25645650502|adults_50up_male_urban.json
342-32-2064|3518393352904229|Kimberly|Lindsey|F|020 Tyler Freeway|Ankeny|IA|50023|41.7194|-93.6266|49581|Theatre stage manager|1952-04-16|18570457049|adults_50up_female_urban.json
054-17-6898|213117758917830|Tony|Williams|M|0076 Parks Overpass Suite 115|Freeport|NY|11520|40.6536|-73.5866|43341|Translator|1988-06-12|69356565695|adults_2550_male_urban.json
640-82-9591|180069847896112|Sarah|Curtis|F|7365 Ross Stream|Inkster|MI|48141|42.294|-83.3146|25366|Chief of Staff|2009-03-22|469493820213|young_adults_female_urban.json
262-48-2501|4111161528098856|Meagan|Jenkins|F|049 Bell Ports Apt. 273|Honolulu|HI|96818|21.3532|-157.9269|403114|Clinical cytogeneticist|1951-12-23|929216664078|adults_50up_female_urban.json
118-98-4565|3568998094024455|Heather|White|F|612 Christopher Pines|Mena|AR|71953|34.5814|-94.221|14882|Engineer, structural|2006-03-14|461177243339|young_adults_female_urban.json
162-48-5106|3599102290147672|Lawrence|Perry|M|156 Justin Springs|Aberdeen|WA|98520|46.9843|-123.7963|23814|Therapist, horticultural|1946-07-31|577615689420|adults_50up_male_urban.json
047-29-6476|3503432445107627|Betty|Patel|F|851 Hensley Canyon|Smithfield|NC|27577|35.5068|-78.3479|22911|Press photographer|1930-01-11|502591667934|adults_50up_female_urban.json
883-41-9434|6564160529751619|Dana|Chapman|F|4535 Charles Roads|Parachute|CO|81635|39.4585|-107.8789|5957|Clothing/textile technologist|1969-07-07|560624678846|adults_50up_female_urban.json
795-45-5753|3531243292127790|Olivia|Cole|F|527 Taylor Roads Suite 490|Lincoln|NE|68516|40.7568|-96.6523|266032|Management consultant|1972-12-12|79488406665|adults_50up_female_urban.json
463-05-0933|371199867980790|Marissa|Morris|F|207 Lisa Villages Suite 182|Osceola|IA|50213|41.0295|-93.7712|6812|Archaeologist|1929-12-04|778453131767|adults_50up_female_urban.json
450-68-8565|3555466590515181|Michael|Mitchell|M|1925 Ponce Square|Tecumseh|OK|74873|35.2502|-96.9667|11821|Nurse, children's|1958-03-05|653388872137|adults_50up_male_urban.json
087-40-9158|6528168505423579|Corey|Cooke|M|41888 Ebony Wells|Panama City|FL|32401|30.1606|-85.6494|118090|Waste management officer|1932-02-03|653397880348|adults_50up_male_urban.json
167-24-2713|3506537947383471|Stephanie|Lee|F|4688 Burch Viaduct Apt. 924|Marvell|AR|72366|34.5485|-90.9413|2543|Associate Professor|1952-08-13|531034820387|adults_50up_female_urban.json
568-14-8453|2261247826137504|Jason|Sanders|M|61530 Galvan Villages Suite 220|Lexington|KY|40504|38.0406|-84.5433|296965|Historic buildings inspector/conservation officer|2000-04-24|914473253283|adults_2550_male_urban.json
852-18-7686|30010432898610|Paula|Young|F|36971 Mary Parks|New York City|NY|10012|40.7255|-73.9983|1577385|Therapist, speech and language|1987-01-23|19482202674|adults_2550_female_urban.json
589-31-2353|4095396218518888801|Jeanette|Harrison|F|4051 Allen Shoals Apt. 952|Shrewsbury|MA|01545|42.2848|-71.7205|35299|Armed forces operational officer|1973-02-18|598513567016|adults_50up_female_urban.json
659-23-7613|3522170430305486|Jennifer|Ochoa|F|0345 Michelle Isle Suite 156|Philadelphia|PA|19152|40.0606|-75.0471|1526206|Office manager|1983-08-22|484228819436|adults_2550_female_urban.json
396-44-3061|38584161692842|Erica|Miller|F|7962 Bell Canyon Suite 964|Knox|IN|46534|41.2809|-86.6082|11263|Barista|1959-11-02|734761706971|adults_50up_female_urban.json
373-66-2622|503897021351|Jack|Herring|M|275 Wallace Club|Davis|CA|95616|38.5538|-121.7418|47032|Teacher, secondary school|1997-04-09|580411980930|adults_2550_male_urban.json
322-84-4567|4027868144733|Zachary|Mitchell|M|12172 Osborn Valleys Suite 518|West Palm Beach|FL|33404|26.7832|-80.0638|459921|Special effects artist|1971-05-14|980499639968|adults_50up_male_urban.json
162-92-2853|341323705895781|Beverly|Henson|F|6786 Morrow Cliffs|Youngstown|OH|44505|41.1257|-80.6277|163222|Comptroller|1970-08-28|352068690122|adults_50up_female_urban.json
461-60-8477|348922680182421|Candice|Donovan|F|8414 Cynthia Plaza|Fairfield|OH|45014|39.3266|-84.5479|43917|Haematologist|1948-05-24|687732369667|adults_50up_female_urban.json
547-12-8235|4992299590010948|Matthew|Wang|M|078 May Hollow Suite 364|Lanesville|IN|47136|38.2448|-85.9593|4178|Professor Emeritus|1962-09-24|756227660834|adults_50up_male_urban.json
451-54-7934|30359255562583|Justin|Flores|M|47321 Kelly Lights Suite 325|Phoenix|AZ|85035|33.4724|-112.1832|1312922|Technical brewer|1939-07-12|346694606719|adults_50up_male_urban.json
164-64-8434|38470168733955|Amber|Campbell|F|8016 Nicole Stream Suite 650|Suncook|NH|03275|43.1604|-71.4179|11437|Oncologist|1966-11-04|622989978517|adults_50up_female_urban.json
372-71-4729|2298784991216553|Kristin|Diaz|F|98680 Benjamin Station|Milton|FL|32570|30.6604|-87.0473|83284|Lecturer, further education|2008-05-05|523144049876|young_adults_female_urban.json
153-78-8447|4952694958887945|Karen|Smith|F|169 Robles Stream Apt. 974|Warner Robins|GA|31093|32.6368|-83.6395|81138|Technical sales engineer|2000-04-04|251589024007|adults_2550_female_urban.json
598-62-2794|180023091307565|Brittany|Vaughn|F|970 April Points Suite 786|Corbin|KY|40701|36.9344|-84.1021|29497|Interior and spatial designer|1967-06-01|193087493940|adults_50up_female_urban.json
546-44-8951|379733484344378|Emily|Bailey|F|1986 Cardenas Trail Apt. 404|El Macero|CA|95618|38.5462|-121.6676|27281|Careers information officer|2002-09-25|719159529356|young_adults_female_urban.json
491-28-3311|180084219933088|Darius|Hall|M|5712 Tamara Estate|Hellertown|PA|18055|40.5817|-75.3255|11780|Optometrist|1998-07-19|965855026307|adults_2550_male_urban.json
667-26-4707|370193802620679|Cody|Curry|M|04991 Mitchell Row Suite 287|Reno|NV|89506|39.6412|-119.8735|276896|Government social research officer|1999-02-22|889886348922|adults_2550_male_urban.json
167-94-7519|4205493296685169|Michael|Lopez|M|5304 Young Terrace|Gillsville|GA|30543|34.3001|-83.6757|4487|Geologist, engineering|1998-11-16|364874801234|adults_2550_male_urban.json
741-74-0188|4301742684145933273|Brittany|Adkins|F|8783 Erin Ranch Apt. 878|Fall River|MA|02721|41.6883|-71.1574|88252|Medical illustrator|1974-09-16|122682170508|adults_50up_female_urban.json
561-65-3313|3525871397187075|Carlos|Perry|M|740 Scott Alley|Fairmont|WV|26554|39.4941|-80.2213|41369|Engineering geologist|1989-07-29|79793239299|adults_2550_male_urban.json
353-90-1045|213117046226564|Joan|Stark|F|1825 Gregory Plain Suite 823|High Point|NC|27260|35.954|-79.9884|116061|Accountant, chartered certified|1964-02-26|24722602367|adults_50up_female_urban.json
475-87-8921|6533752431069037|Daniel|Garcia|M|9030 Gonzales Plains|Vallejo|CA|94589|38.1582|-122.2804|119080|Engineer, water|1977-12-23|952427834357|adults_2550_male_urban.json
144-65-4740|4995342836449|Antonio|Fry|M|687 Teresa Row|Springfield|OH|45505|39.9106|-83.7856|101826|Museum/gallery curator|2003-10-23|578900622716|young_adults_male_urban.json
427-53-2445|4287334270866882637|David|Rivera|M|5183 Joseph Spring|Costa Mesa|CA|92627|33.6483|-117.9155|110851|Trade union research officer|2000-02-19|45539203444|adults_2550_male_urban.json
193-98-9627|3573540331739363|Thomas|Arnold|M|7854 Ward Parks Suite 175|Cincinnati|OH|45211|39.1524|-84.5967|795220|Engineer, electronics|1977-04-20|345189549205|adults_2550_male_urban.json
577-29-2391|578996423534|James|Whitaker|M|547 Murray Street Suite 228|Orangeburg|SC|29115|33.5025|-80.8593|48149|Records manager|1988-07-26|596525278420|adults_2550_male_urban.json
061-68-0555|5206231203875093|Marcia|Peck|F|700 Smith Pines Suite 840|Ocklawaha|FL|32179|29.0643|-81.8857|8156|Retail buyer|1951-04-12|767996662339|adults_50up_female_urban.json
826-23-1754|2623398454615676|Karl|Branch|M|1016 Bennett Mountains|Greenville|SC|29605|34.8001|-82.3932|201862|Banker|1947-03-16|11324746755|adults_50up_male_urban.json
085-64-7110|4918033974014890|Matthew|White|M|39261 Martin Garden Suite 856|Chesapeake|VA|23323|36.7634|-76.3397|222272|Counselling psychologist|1984-12-10|797529515996|adults_2550_male_urban.json
764-45-0880|2331599965047738|Henry|Pugh|M|96194 Jennifer Corner Suite 262|Pinole|CA|94564|37.9969|-122.2875|18287|Neurosurgeon|1962-01-01|396497113885|adults_50up_male_urban.json
006-40-7287|371212678886104|Ann|Spencer|F|0466 Jenny Points Apt. 982|Miami Beach|FL|33139|25.7873|-80.1564|95666|Museum/gallery conservator|1994-09-20|151051859836|adults_2550_female_urban.json
275-64-2391|2227464715437993|Craig|Rodriguez|M|65965 Cook Via Apt. 459|Castle Rock|CO|80108|39.4455|-104.853|67419|Engineer, control and instrumentation|1995-11-12|345654714857|adults_2550_male_urban.json
408-41-4776|3593564651939821|Michael|Pierce|M|374 Lori Underpass Suite 724|Gordon|AL|36343|31.1002|-85.1234|1579|Financial controller|1965-07-14|722639765311|adults_50up_male_rural.json
434-49-1212|38968868058912|Ashley|Wright|F|90965 Rodriguez Courts Suite 388|Chicago|IL|60621|41.775|-87.6421|2680484|Surveyor, insurance|2004-12-08|758407551188|young_adults_female_urban.json
457-48-6409|30250714611253|Eric|Gibson|M|757 Samuel Square|Littleton|CO|80128|39.5918|-105.0832|320420|Production manager|2001-09-07|74384149802|young_adults_male_urban.json
830-91-1886|581238282585|Jessica|Murray|F|226 Johnson Ridges Apt. 796|Sacramento|CA|95821|38.6239|-121.3837|757530|Neurosurgeon|1957-08-31|773113226056|adults_50up_female_urban.json
286-97-1026|3582553714785969|Logan|Matthews|M|7924 Emily Island Apt. 341|Phillipsburg|NJ|08865|40.7079|-75.1507|29840|Education officer, museum|1990-06-25|761812548743|adults_2550_male_urban.json
398-54-9772|4627828274225795|Amy|Howard|F|2368 Ortiz Overpass|Glencoe|MO|63038|38.5878|-90.6639|6914|Pathologist|1969-08-10|926468006901|adults_50up_female_urban.json
172-11-9264|639034043849|Christopher|Ellis|M|819 Joseph Plains Suite 807|Hot Springs National Park|AR|71901|34.5268|-92.9587|72927|Sports coach|1969-05-01|113495175185|adults_50up_male_urban.json
670-97-4056|4745171339596292335|Robert|Hudson|M|825 Roberts Grove Apt. 260|Bridgeport|CT|06610|41.2005|-73.1688|144195|Health and safety inspector|1963-10-15|720983479468|adults_50up_male_urban.json
887-17-4091|4367294667116840|Melissa|Wiley|F|5901 Reid Square Suite 186|Denver|CO|80233|39.9015|-104.9407|990452|Engineering geologist|1974-03-29|472309515869|adults_50up_female_urban.json
507-35-5290|4892975001701277068|Dale|Barker|M|424 Diamond Glen|Bloomington|IL|61701|40.4783|-88.9893|84349|Charity fundraiser|1962-01-20|731741497149|adults_50up_male_urban.json
170-07-6494|4361103712938700|Adam|Cooper|M|2713 Davis Valley|La Mirada|CA|90638|33.9067|-118.0101|49012|Civil engineer, consulting|2006-01-26|344040630909|young_adults_male_urban.json
307-18-6271|4189092753269739|Brandon|Garcia|M|656 Moody Gateway|Las Vegas|NV|89156|36.2034|-115.0364|1417793|Health and safety inspector|1949-05-20|92962937500|adults_50up_male_urban.json
616-77-9955|4438983640376137917|Joseph|Levine|M|2696 Payne Extensions Suite 109|Canterbury|CT|06331|41.6844|-72.001|5137|Broadcast journalist|1969-05-02|287822051149|adults_50up_male_urban.json
062-51-8301|4661889241418328564|Laurie|Hines|F|6303 Sandy Crescent|Los Angeles|CA|90056|33.9853|-118.3707|2383912|Professor Emeritus|1973-07-04|668349725580|adults_50up_female_urban.json
683-95-2878|5120275884252414|Raymond|Johnson|M|8149 Tyler Pass Suite 079|Seattle|WA|98103|47.6734|-122.3426|837792|Dietitian|1958-05-28|173377898839|adults_50up_male_urban.json
106-74-1890|4003075622084|Regina|Klein|F|53654 Ashley Crest Apt. 238|Mount Pleasant|SC|29466|32.8674|-79.8049|72374|Armed forces training and education officer|1978-07-06|442184404040|adults_2550_female_urban.json
477-37-5091|348705349493754|Kevin|Snyder|M|832 Sarah Burg|Dover|NJ|07801|40.9176|-74.5467|25386|Exhibitions officer, museum/gallery|1959-10-04|380283040969|adults_50up_male_urban.json
711-02-5489|639064138360|Katherine|Brown|F|410 Phyllis Pike|Huron|SD|57350|44.359|-98.2163|14534|Passenger transport manager|1995-03-26|986557625325|adults_2550_female_urban.json
766-11-9516|2626199062344569|Michael|Moss|M|4313 Kimberly Prairie Apt. 212|East Brunswick|NJ|08816|40.4284|-74.4064|46298|Production assistant, television|1970-07-05|345599075156|adults_50up_male_urban.json
549-46-3402|30474112490355|Charles|Dawson|M|8044 Anthony Lodge Suite 883|High Point|NC|27260|35.954|-79.9884|116061|Chief Marketing Officer|1958-05-18|113653610350|adults_50up_male_urban.json
144-16-0196|639032365194|Kevin|Lowery|M|13721 Martinez Mountain|Laveen|AZ|85339|33.3436|-112.1716|35586|Arts administrator|1956-07-09|474911216420|adults_50up_male_urban.json
405-64-0484|6525324472099933|Maria|Porter|F|14626 Dawn Union Apt. 806|Beloit|WI|53511|42.562|-89.086|48929|Mechanical engineer|1979-12-22|599060683120|adults_2550_female_urban.json
353-73-8232|374205930407856|Pamela|Key|F|33480 Barbara Union|Puyallup|WA|98374|47.1424|-122.2652|129412|Network engineer|1987-12-12|192608757154|adults_2550_female_urban.json
607-41-5879|3559929378427016|Anthony|Guzman|M|705 Lindsay Junctions|Monroe|NC|28110|35.0178|-80.5372|76676|Editor, film/video|1957-06-29|884414429088|adults_50up_male_urban.json
332-08-0360|4185156915452261|Ricky|Yu|M|89539 Nicholas Street Suite 220|Los Angeles|CA|90042|34.1145|-118.1929|2383912|Teacher, primary school|1968-07-20|933689818542|adults_50up_male_urban.json
582-05-2984|3593917251355212|Samantha|Santiago|F|0433 Michael Turnpike Apt. 006|Corona|CA|92880|33.9208|-117.6096|233717|Primary school teacher|1940-05-19|462707927107|adults_50up_female_urban.json
424-64-6205|371793271040546|Tiffany|Jones|F|2181 Wheeler Ridges|White|GA|30184|34.2717|-84.7383|6847|Radiation protection practitioner|1954-09-26|33090595507|adults_50up_female_urban.json
670-22-9951|6011015336884442|David|Williams|M|05061 Colon Road Suite 310|Raleigh|NC|27604|35.8334|-78.5799|489514|Engineer, maintenance|1975-01-04|700813387933|adults_50up_male_urban.json
084-61-1893|4774186256527047740|Darrell|Adams|M|11586 Angela Ville|Church Hill|TN|37642|36.5399|-82.7252|14947|Naval architect|1982-06-13|574745673999|adults_2550_male_urban.json
549-88-7780|3574160898992179|Christopher|Joyce|M|20616 Wendy Road|Crownsville|MD|21032|39.0489|-76.5935|8848|Data scientist|1963-09-08|656417496092|adults_50up_male_urban.json
745-09-1426|6585487099861626|Brittany|Matthews|F|91485 Baker Shoal|Methuen|MA|01844|42.728|-71.181|47249|Radiographer, diagnostic|1979-08-01|668176751968|adults_2550_female_urban.json
177-36-6603|4065307450544476|Scott|Cohen|M|47546 Jacob Forest|Charlottesville|VA|22902|38.0266|-78.4804|112588|Optometrist|1948-01-28|535758278399|adults_50up_male_urban.json
889-48-0921|213114862890235|Sheri|Gonzalez|F|07053 Richardson Mountain|Kearney|NE|68845|40.7514|-99.1291|36411|Risk analyst|1973-05-22|697489556056|adults_50up_female_urban.json
698-04-3964|379727985524140|Alexander|Williams|M|33468 Michelle Trafficway|Magnolia|AR|71753|33.2647|-93.2392|16848|Acupuncturist|1977-07-25|709237888521|adults_2550_male_urban.json
821-02-3667|4466574374896910852|Justin|Wheeler|M|1715 Davidson Wall Suite 443|Hollywood|FL|33024|26.0296|-80.2489|420284|Dealer|1968-06-02|839740381755|adults_50up_male_urban.json
059-77-6621|4207446660993534|Melissa|Little|F|584 Mary Wells Apt. 417|Oceanside|CA|92057|33.2407|-117.3025|188742|Conservation officer, historic buildings|1969-02-18|286650063966|adults_50up_female_urban.json
573-98-3000|4135346554947173|Amy|Walters|F|3816 Gutierrez Ways|West Palm Beach|FL|33413|26.6555|-80.1596|459921|Dentist|1979-07-06|374522422066|adults_2550_female_urban.json
584-59-2347|341752500743293|Phillip|Burns|M|96666 Reyes Camp|Buffalo|NY|14207|42.9491|-78.8978|564824|Social research officer, government|1990-06-12|804015362037|adults_2550_male_urban.json
015-42-8701|4033542168940|Christopher|Colon|M|7898 Hamilton Spur Apt. 575|Long Beach|CA|90805|33.8635|-118.1801|471952|Emergency planning/management officer|1973-07-10|445869180665|adults_50up_male_urban.json
230-94-2150|4982150648900|Linda|Williams|F|001 Wallace Crossing|Limington|ME|04049|43.726|-70.6752|3659|Sports development officer|1978-06-27|520776545528|adults_2550_female_urban.json
211-89-0153|4184992618914117392|Curtis|Baker|M|6420 Lozano Spurs|Mc Andrews|KY|41543|37.5624|-82.2803|543|Quarry manager|1970-12-01|259117969489|adults_50up_male_rural.json
688-12-1810|3521811437447018|Robin|Sawyer|F|5611 Alec Dam Apt. 557|Brooklyn|NY|11208|40.6762|-73.8736|2504700|Wellsite geologist|1989-01-26|963225054391|adults_2550_female_urban.json
382-44-2997|2296746762120217|Jennifer|Garza|F|96590 Timothy Oval Apt. 670|Tularosa|NM|88352|33.065|-106.0108|5188|Biomedical scientist|2004-09-17|718383157138|young_adults_female_urban.json
722-87-8599|3558891637562895|Amy|Schneider|F|772 Karen Islands|Butte|MT|59701|45.9979|-112.5988|33499|Financial adviser|1935-01-08|52734283343|adults_50up_female_urban.json
564-83-6204|6011177971775176|Nichole|Smith|F|0880 Latoya River Suite 883|Surprise|AZ|85388|33.6134|-112.4512|119941|Programmer, multimedia|1948-12-09|377743898953|adults_50up_female_urban.json
056-29-7446|375711305548850|Michael|Williams|M|2614 Jacob Walk|Rocklin|CA|95677|38.7877|-121.2366|57307|Nurse, learning disability|1988-04-10|503437123514|adults_2550_male_urban.json
196-92-5537|2309177982708083|Timothy|Roberson|M|292 Dale Shoals Suite 866|Monroe|LA|71203|32.553|-92.0422|86622|Transport planner|1959-01-17|764143015905|adults_50up_male_urban.json
281-51-5618|4226984858333945226|Jonathan|Benson|M|158 Aguilar Shores Suite 846|South Richmond Hill|NY|11419|40.6868|-73.823|47211|Administrator, Civil Service|1973-06-18|118209225199|adults_50up_male_urban.json
149-07-0928|4244204380570|Brian|Parrish|M|863 Schwartz Causeway|Wood Dale|IL|60191|41.9602|-87.981|14310|Museum/gallery curator|1940-08-23|456931067925|adults_50up_male_urban.json
702-41-9047|501843973592|Kimberly|Morrison|F|7212 Jill Crest|Morongo Valley|CA|92256|34.0606|-116.5656|3588|Multimedia programmer|1982-06-02|468325957955|adults_2550_female_urban.json
271-17-2637|3505720259094792|Krista|Jones|F|328 Kristie Estate Suite 886|Brentwood|NY|11717|40.7809|-73.2503|60745|Chief Executive Officer|1992-02-15|242018842821|adults_2550_female_urban.json
680-43-5425|373987801573996|David|Williams|M|1648 Johnson Path Suite 887|New Port Richey|FL|34653|28.2444|-82.6986|115083|Radiographer, therapeutic|1962-07-20|322310888655|adults_50up_male_urban.json
198-42-8420|5428801336138619|Paul|Hernandez|M|501 Brian Underpass Suite 819|New York City|NY|10003|40.7313|-73.9892|1577385|Estate agent|1990-12-06|287380499077|adults_2550_male_urban.json
462-81-6627|6506180919015814|Donna|Jennings|F|7660 Moore Forges|Lakeville|MA|02347|41.8374|-70.9582|10612|Copy|1962-05-28|432704013236|adults_50up_female_urban.json
870-70-4833|4450882100996881|Theresa|Torres|F|68222 Christina Glen Apt. 129|Concord|CA|94520|37.9823|-122.0362|123688|Audiological scientist|2007-05-03|828290403261|young_adults_female_urban.json
563-60-9006|2261413975523148|Lisa|Mccullough|F|7594 Ariana Lakes Suite 620|Cleveland|OH|44118|41.5008|-81.5516|769341|Intelligence analyst|1947-10-20|864345740668|adults_50up_female_urban.json
758-83-7146|4257775478129142835|Deborah|Mercado|F|108 Lisa Prairie|Hampstead|NC|28443|34.3879|-77.6628|17512|Ophthalmologist|1949-08-27|651843751630|adults_50up_female_urban.json
038-71-4270|180025639427888|Ann|Cox|F|392 Sean Fall|New Oxford|PA|17350|39.8775|-77.0643|12886|Systems developer|1996-06-06|622549976924|adults_2550_female_urban.json
150-95-7922|343731453038560|John|Gibson|M|51844 Nicholas Lane|Denver|CO|80233|39.9015|-104.9407|990452|Medical secretary|1946-10-31|719783599768|adults_50up_male_urban.json
080-67-4122|6011865577908270|Christopher|Jones|M|22259 Donna Mall Suite 177|Oakland|CA|94605|37.7641|-122.1633|381459|Quality manager|1987-12-05|649445028286|adults_2550_male_urban.json
